customer_id,age,income,gender
24890,25-34,1740.0,Sex Not Available
24891,55-64,4980.0,Male
24892,35-44,9480.0,Male
24893,45-54,11880.0,Male
24894,25-34,10440.0,Joint
24895,35-44,10080.0,Joint
24896,55-64,5040.0,Joint
24897,55-64,3780.0,Female
24898,55-64,5580.0,Joint
24899,55-64,6720.0,Sex Not Available
24900,55-64,4020.0,Male
24901,35-44,9540.0,Sex Not Available
24902,65-74,3780.0,Joint
24904,35-44,7860.0,Female
24905,45-54,2220.0,Male
24906,25-34,5340.0,Joint
24907,65-74,3120.0,Male
24908,45-54,5340.0,Female
24909,55-64,12540.0,Sex Not Available
24910,65-74,16860.0,Joint
24911,>74,2100.0,Female
24912,55-64,2880.0,Male
24913,65-74,2760.0,Female
24914,35-44,4980.0,Male
24915,45-54,8940.0,Joint
24916,45-54,6780.0,Joint
24917,25-34,3840.0,Sex Not Available
24918,55-64,3840.0,Female
24919,35-44,4920.0,Female
24920,25-34,5400.0,Male
24922,35-44,5580.0,Male
24923,45-54,3720.0,Male
24924,25-34,7500.0,Male
24925,45-54,3540.0,Female
24926,55-64,9180.0,Male
24927,45-54,9660.0,Joint
24928,65-74,3780.0,Male
24929,35-44,7560.0,Male
24930,35-44,9060.0,Male
24931,35-44,3480.0,Female
24933,35-44,3120.0,Male
24934,35-44,13620.0,Sex Not Available
24935,45-54,7380.0,Joint
24936,55-64,4920.0,Sex Not Available
24937,55-64,3720.0,Joint
24939,25-34,6780.0,Female
24940,25-34,9060.0,Sex Not Available
24941,65-74,9600.0,Male
24942,65-74,3360.0,Joint
24943,65-74,4560.0,Female
24944,35-44,22500.0,Joint
24945,55-64,3300.0,Sex Not Available
24946,45-54,4140.0,Female
24947,45-54,6000.0,Male
24948,35-44,6600.0,Male
24949,35-44,11340.0,Sex Not Available
24950,65-74,7080.0,Male
24951,35-44,4800.0,Male
24952,35-44,8520.0,Joint
24953,<25,2760.0,Sex Not Available
24954,55-64,7140.0,Joint
24955,55-64,5820.0,Male
24956,65-74,2100.0,Joint
24957,65-74,12000.0,Female
24958,25-34,3720.0,Female
24959,65-74,5880.0,Sex Not Available
24960,>74,3300.0,Sex Not Available
24961,35-44,8400.0,Male
24962,65-74,5520.0,Female
24963,65-74,2040.0,Male
24964,45-54,8580.0,Male
24965,45-54,10740.0,Joint
24966,35-44,2400.0,Sex Not Available
24967,35-44,12600.0,Joint
24968,35-44,5040.0,Male
24969,35-44,7860.0,Sex Not Available
24970,55-64,5700.0,Male
24971,55-64,2580.0,Female
24972,45-54,15180.0,Sex Not Available
24973,55-64,8700.0,Male
24974,25-34,5400.0,Sex Not Available
24975,25-34,8160.0,Joint
24976,45-54,9180.0,Sex Not Available
24978,65-74,5640.0,Joint
24979,65-74,7980.0,Joint
24980,65-74,9840.0,Sex Not Available
24981,>74,11460.0,Joint
24982,55-64,3660.0,Male
24983,35-44,7140.0,Male
24984,55-64,7440.0,Female
24985,35-44,2940.0,Female
24987,55-64,3000.0,Sex Not Available
24988,45-54,14640.0,Sex Not Available
24989,25-34,3840.0,Female
24990,55-64,2880.0,Male
24991,65-74,5700.0,Joint
24992,45-54,7680.0,Male
24994,55-64,6840.0,Male
24995,55-64,10260.0,Joint
24996,<25,3120.0,Male
24997,55-64,17340.0,Joint
24998,35-44,12180.0,Joint
24999,45-54,5520.0,Joint
25000,25-34,6060.0,Joint
25001,45-54,5220.0,Sex Not Available
25002,45-54,2640.0,Sex Not Available
25003,55-64,4920.0,Female
25004,>74,4800.0,Sex Not Available
25005,45-54,4200.0,Sex Not Available
25007,45-54,8160.0,Joint
25008,55-64,4440.0,Female
25009,55-64,11400.0,Male
25010,25-34,3240.0,Female
25011,65-74,3300.0,Sex Not Available
25012,45-54,3840.0,Joint
25014,35-44,6600.0,Female
25016,35-44,8400.0,Male
25017,25-34,5820.0,Sex Not Available
25018,55-64,6540.0,Joint
25019,45-54,15240.0,Sex Not Available
25020,45-54,5280.0,Male
25021,35-44,8280.0,Joint
25022,65-74,16740.0,Female
25023,65-74,2220.0,Female
25024,55-64,3780.0,Male
25025,55-64,5580.0,Female
25026,45-54,11760.0,Joint
