loan_id,loan_amount,credit_score,default_status,customer_id
24890,116500,758,1,24890
24891,206500,552,1,24891
24892,406500,834,0,24892
24893,456500,587,0,24893
24894,696500,602,0,24894
24895,706500,864,0,24895
24896,346500,860,0,24896
24897,266500,863,0,24897
24898,376500,580,0,24898
24899,436500,788,0,24899
24900,136500,723,1,24900
24901,466500,501,0,24901
24902,206500,884,1,24902
24903,436500,520,0,24903
24904,226500,773,0,24904
24905,76500,685,1,24905
24906,356500,846,1,24906
24907,156500,534,1,24907
24908,406500,629,0,24908
24909,586500,688,0,24909
24910,306500,668,0,24910
24911,136500,758,0,24911
24912,306500,692,1,24912
24913,316500,620,0,24913
24914,336500,846,0,24914
24915,426500,533,0,24915
24916,476500,518,1,24916
24917,196500,812,0,24917
24918,186500,534,0,24918
24919,436500,647,0,24919
24920,246500,683,0,24920
24921,216500,705,0,24921
24922,306500,701,0,24922
24923,316500,591,0,24923
24924,506500,647,0,24924
24925,266500,889,0,24925
24926,406500,651,0,24926
24927,656500,716,0,24927
24928,256500,780,1,24928
24929,396500,799,1,24929
24930,396500,766,0,24930
24931,166500,868,0,24931
24932,466500,765,1,24932
24933,236500,673,1,24933
24934,866500,876,1,24934
24935,416500,886,0,24935
24936,436500,772,0,24936
24937,356500,640,0,24937
24938,386500,798,0,24938
24939,596500,858,0,24939
24940,196500,543,0,24940
24941,206500,846,0,24941
24942,136500,555,1,24942
24943,166500,603,1,24943
24944,606500,808,0,24944
24945,86500,519,1,24945
24946,116500,786,1,24946
24947,426500,769,0,24947
24948,166500,685,0,24948
24949,426500,556,0,24949
24950,376500,567,0,24950
24951,286500,632,0,24951
24952,706500,818,0,24952
24953,146500,584,0,24953
24954,446500,750,0,24954
24955,286500,808,0,24955
24956,166500,838,1,24956
24957,636500,741,1,24957
24958,226500,820,0,24958
24959,316500,665,0,24959
24960,156500,783,0,24960
24961,706500,663,0,24961
24962,196500,612,0,24962
24963,166500,739,0,24963
24964,486500,812,0,24964
24965,406500,571,0,24965
24966,146500,870,1,24966
24967,306500,793,0,24967
24968,266500,804,0,24968
24969,436500,801,0,24969
24970,446500,711,0,24970
24971,216500,673,0,24971
24972,476500,634,0,24972
24973,466500,834,0,24973
24974,326500,764,1,24974
24975,656500,865,1,24975
24976,506500,593,1,24976
24977,246500,511,0,24977
24978,186500,533,1,24978
24979,56500,677,0,24979
24980,486500,774,0,24980
24981,346500,638,0,24981
24982,136500,644,0,24982
24983,586500,732,0,24983
24984,336500,586,1,24984
24985,76500,642,0,24985
24986,286500,872,1,24986
24987,136500,898,0,24987
24988,486500,734,0,24988
24989,416500,639,0,24989
24990,186500,506,0,24990
24991,186500,664,1,24991
24992,316500,670,0,24992
24993,346500,577,1,24993
24994,326500,857,0,24994
24995,256500,653,0,24995
24996,226500,595,1,24996
24997,226500,639,0,24997
24998,906500,787,0,24998
24999,386500,560,0,24999
25000,496500,613,1,25000
25001,106500,514,1,25001
25002,186500,867,0,25002
25003,246500,717,0,25003
25004,126500,872,1,25004
25005,226500,619,0,25005
25006,416500,668,0,25006
25007,146500,640,0,25007
25008,216500,600,1,25008
25009,396500,524,0,25009
25010,246500,883,0,25010
25011,316500,503,0,25011
25012,296500,887,0,25012
25013,436500,604,0,25013
25014,226500,644,1,25014
25015,506500,648,0,25015
25016,296500,797,0,25016
25017,386500,806,0,25017
25018,106500,845,0,25018
25019,706500,815,0,25019
25020,176500,585,0,25020
25021,496500,729,0,25021
25022,606500,538,0,25022
25023,126500,629,0,25023
25024,156500,791,0,25024
25025,196500,671,1,25025
25026,256500,787,0,25026
25027,1376500,572,1,25027
25028,376500,755,0,25028
25029,296500,670,0,25029
25030,566500,760,1,25030
25031,416500,578,0,25031
25032,476500,648,0,25032
25033,686500,836,1,25033
25034,556500,900,1,25034
25035,266500,777,0,25035
25036,406500,765,0,25036
25037,256500,534,0,25037
25038,236500,667,0,25038
25039,656500,880,1,25039
25040,156500,820,0,25040
25041,406500,568,0,25041
25042,476500,805,0,25042
25043,676500,590,0,25043
25044,206500,892,0,25044
25045,126500,540,0,25045
25046,366500,869,0,25046
25047,156500,737,1,25047
25048,276500,831,0,25048
25049,636500,671,1,25049
25050,486500,608,0,25050
25051,266500,803,0,25051
25052,356500,795,0,25052
25053,396500,642,0,25053
25054,486500,674,0,25054
25055,716500,804,0,25055
25056,596500,788,0,25056
25057,636500,737,0,25057
25058,116500,781,1,25058
25059,376500,545,0,25059
25060,356500,796,0,25060
25061,86500,660,1,25061
25062,226500,850,0,25062
25063,66500,851,0,25063
25064,556500,794,0,25064
25065,376500,866,1,25065
25066,106500,777,1,25066
25067,316500,780,0,25067
25068,116500,611,0,25068
25069,86500,584,0,25069
25070,326500,621,0,25070
25071,176500,660,0,25071
25072,156500,862,1,25072
25073,346500,829,0,25073
25074,616500,848,0,25074
25075,456500,775,1,25075
25076,96500,812,0,25076
25077,256500,733,0,25077
25078,146500,700,0,25078
25079,316500,781,0,25079
25080,76500,633,1,25080
25081,406500,702,0,25081
25082,116500,882,1,25082
25083,136500,880,1,25083
25084,206500,686,1,25084
25085,306500,733,1,25085
25086,166500,652,0,25086
25087,216500,524,0,25087
25088,306500,705,0,25088
25089,826500,844,0,25089
25090,136500,642,0,25090
25091,346500,649,0,25091
25092,386500,557,0,25092
25093,706500,866,1,25093
25094,276500,761,0,25094
25095,26500,569,0,25095
25096,276500,523,0,25096
25097,186500,740,0,25097
25098,366500,638,1,25098
25099,666500,506,0,25099
25100,226500,803,0,25100
25101,106500,880,1,25101
25102,426500,690,0,25102
25103,216500,616,0,25103
25104,146500,648,0,25104
25105,676500,660,0,25105
